"","YYYY","MM_DD","ATMP"
"530",1987,"3-1",2.5
"531",1987,"3-2",2.5
"532",1987,"3-3",2.7
"533",1987,"3-4",1.9
"534",1987,"3-5",1.7
"535",1987,"3-6",-0.1
"536",1987,"3-7",-1.1
"537",1987,"3-8",-2.9
"538",1987,"3-9",-0.8
"539",1987,"3-10",0.7
"540",1987,"3-11",2.9
"541",1987,"3-12",2.7
"542",1987,"3-13",2.8
"543",1987,"3-14",2.7
"544",1987,"3-15",0.9
"545",1987,"3-16",2.2
"546",1987,"3-17",2.1
"547",1987,"3-18",2.1
"548",1987,"3-19",1.7
"549",1987,"3-20",-0.1
"550",1987,"3-21",-7.7
"551",1987,"3-22",-9.1
"552",1987,"3-23",-5.8
"553",1987,"3-24",-3.7
"554",1987,"3-25",-3.5
"555",1987,"3-26",-1.6
"556",1987,"3-27",0.7
"557",1987,"3-28",0.7
"558",1987,"3-29",0.4
"559",1987,"3-30",-0.7
"560",1987,"3-31",-0.5
"561",1987,"4-1",0.8
"562",1987,"4-2",2.2
"563",1987,"4-3",1
"564",1987,"4-4",0.9
"565",1987,"4-5",0.8
"566",1987,"4-6",1.1
"567",1987,"4-7",0.7
"568",1987,"4-8",1.2
"569",1987,"4-9",-0.9
"570",1987,"4-10",-2.1
"571",1987,"4-11",-2
"572",1987,"4-12",-1.2
"573",1987,"4-13",-0.2
"574",1987,"4-14",-5
"575",1987,"4-15",NA
"576",1987,"4-16",NA
"577",1987,"4-17",NA
"578",1987,"4-18",NA
"579",1987,"4-19",NA
"580",1987,"4-20",NA
"581",1987,"4-21",NA
"582",1987,"4-22",NA
"583",1987,"4-23",NA
"584",1987,"4-24",NA
"585",1987,"4-25",NA
"586",1987,"4-26",NA
"587",1987,"4-27",NA
"588",1987,"4-28",NA
"589",1987,"4-29",NA
"590",1987,"4-30",NA
"591",1987,"5-1",1.3
"592",1987,"5-2",-0.3
"593",1987,"5-3",0.7
"594",1987,"5-4",0.3
"595",1987,"5-5",1.6
"596",1987,"5-6",3.3
"597",1987,"5-7",1.3
"598",1987,"5-8",2.9
"599",1987,"5-9",2.4
"600",1987,"5-10",2.5
"601",1987,"5-11",2.5
"602",1987,"5-12",2.9
"603",1987,"5-13",1.8
"604",1987,"5-14",2.6
"605",1987,"5-15",2.8
"606",1987,"5-16",3.6
"607",1987,"5-17",2.6
"608",1987,"5-18",1.7
"609",1987,"5-19",2.5
"610",1987,"5-20",2.4
"611",1987,"5-21",2.6
"612",1987,"5-22",2.6
"613",1987,"5-23",3.1
"614",1987,"5-24",2.7
"615",1987,"5-25",2.5
"616",1987,"5-26",3.1
"617",1987,"5-27",2.5
"618",1987,"5-28",3.1
"619",1987,"5-29",4.1
"620",1987,"5-30",3.6
"621",1987,"5-31",3.9
"622",1987,"6-1",4.1
"623",1987,"6-2",4.6
"624",1987,"6-3",5
"625",1987,"6-4",4.4
"626",1987,"6-5",4.5
"627",1987,"6-6",4
"628",1987,"6-7",4.4
"629",1987,"6-8",4
"630",1987,"6-9",4.2
"631",1987,"6-10",4.1
"632",1987,"6-11",4.6
"633",1987,"6-12",5.4
"634",1987,"6-13",3.3
"635",1987,"6-14",5.1
"636",1987,"6-15",4.2
"637",1987,"6-16",5.1
"638",1987,"6-17",5.5
"639",1987,"6-18",5.9
"640",1987,"6-19",5
"641",1987,"6-20",5.5
"642",1987,"6-21",5.2
"643",1987,"8-27",7.5
"644",1987,"8-28",7.8
"645",1987,"8-29",8.9
"646",1987,"8-30",9.7
"647",1987,"8-31",8.7
"648",1987,"9-1",9
"649",1987,"9-2",8.6
"650",1987,"9-3",9.7
"651",1987,"9-4",9
"652",1987,"9-5",8.3
"653",1987,"9-6",7.8
"654",1987,"9-7",6.5
"655",1987,"9-8",6.8
"656",1987,"9-9",6.6
"657",1987,"9-10",7.3
"658",1987,"9-11",9
"659",1987,"9-12",9.4
"660",1987,"9-13",8.6
"661",1987,"9-14",8
"662",1987,"9-15",7.7
"663",1987,"9-16",8.2
"664",1987,"9-17",8.6
"665",1987,"9-18",7
"666",1987,"9-19",7.8
"667",1987,"9-20",7
"668",1987,"9-21",8
"669",1987,"9-22",5.8
"670",1987,"9-23",5.5
"671",1987,"9-24",7.4
"672",1987,"9-25",6.3
"673",1987,"9-26",7.1
"674",1987,"9-28",6.3
"675",1987,"9-29",6.6
"676",1987,"9-30",5.5
"677",1987,"10-1",3.6
"678",1987,"10-2",3.4
"679",1987,"10-3",2.3
"680",1987,"10-4",4.7
"681",1987,"10-5",5.6
"682",1987,"10-6",6.6
"683",1987,"10-7",6.4
"684",1987,"10-8",4.6
"685",1987,"10-9",4.4
"686",1987,"10-10",4.3
"687",1987,"10-11",3.9
"688",1987,"10-12",5.9
"689",1987,"10-13",6.4
"690",1987,"10-14",4.8
"691",1987,"10-15",4.1
"692",1987,"10-16",4.4
"693",1987,"10-17",3.6
"694",1987,"10-18",1.8
"695",1987,"10-19",3.1
"696",1987,"10-20",3.9
"697",1987,"10-21",3.9
"698",1987,"10-22",2.5
"699",1987,"10-23",2.3
"700",1987,"10-24",1
"701",1987,"10-25",2.8
"702",1987,"10-26",4.3
"703",1987,"10-27",3.6
"704",1987,"10-28",5.6
"705",1987,"10-29",5.2
"706",1987,"10-30",3.8
"707",1987,"10-31",5.4
"708",1987,"11-1",4.6
"709",1987,"11-2",1.5
"710",1987,"11-3",0.8
"711",1987,"11-4",0.9
"712",1987,"11-5",-0.6
"713",1987,"11-6",2.3
"714",1987,"11-7",3.4
"715",1987,"11-8",3.6
"716",1987,"11-9",3.5
"717",1987,"11-10",0.1
"718",1987,"11-11",-0.3
"719",1987,"11-12",1.3
"720",1987,"11-13",3.6
"721",1987,"11-14",4.3
"722",1987,"11-15",2
"723",1987,"11-16",2
"724",1987,"11-17",0.1
"725",1987,"11-18",4.3
"726",1987,"11-19",3.9
"727",1987,"11-20",2.5
"728",1987,"11-21",2.1
"729",1987,"11-22",1.7
"730",1987,"11-23",-1.1
"731",1987,"11-24",0
"732",1987,"11-25",-2.3
"733",1987,"11-26",-2
"734",1987,"11-27",-0.8
"735",1987,"11-28",-2.9
"736",1987,"11-29",-3
"737",1987,"11-30",-2.5
"738",1987,"12-1",-0.2
"739",1987,"12-2",-3.1
"740",1987,"12-3",-3.8
"741",1987,"12-4",-5
"742",1987,"12-5",-4.4
"743",1987,"12-6",-3.5
"744",1987,"12-7",-3.8
"745",1987,"12-8",-4.2
"746",1987,"12-9",-0.3
"747",1987,"12-10",-3.1
"748",1987,"12-11",-0.7
"749",1987,"12-13",2.3
"750",1987,"12-14",2.4
"751",1987,"12-15",2.3
"752",1987,"12-16",0.9
"753",1987,"12-17",-0.6
"754",1987,"12-18",0.4
"755",1987,"12-19",0.5
"756",1987,"12-20",-0.3
"757",1987,"12-21",2.1
"758",1987,"12-22",-1.5
"759",1987,"12-23",-3.8
"760",1987,"12-24",-3.1
"761",1987,"12-25",-2
"762",1987,"12-26",0.9
"763",1987,"12-27",1.2
"764",1987,"12-28",2.9
"765",1987,"12-29",1.2
"766",1987,"12-30",NA
"767",1987,"12-31",0.9
"768",1988,"1-1",2.4
"769",1988,"1-2",0.2
"770",1988,"1-3",1.2
"771",1988,"1-4",0.1
"772",1988,"1-5",-1
"773",1988,"1-6",0.2
"774",1988,"1-7",1.3
"775",1988,"1-8",2.3
"776",1988,"1-9",1.6
"777",1988,"1-10",1.5
"778",1988,"1-11",1.7
"779",1988,"1-12",1.6
"780",1988,"1-13",1.6
"781",1988,"1-14",-3
"782",1988,"1-15",-2.6
"783",1988,"1-16",-1.5
"784",1988,"1-17",-2.3
"785",1988,"1-18",-2.8
"786",1988,"1-19",-1.2
"787",1988,"1-20",-0.5
"788",1988,"1-21",-1.9
"789",1988,"1-22",-3.9
"790",1988,"1-23",-5.3
"791",1988,"1-24",-5.1
"792",1988,"1-25",-0.7
"793",1988,"1-26",0.5
"794",1988,"1-27",1.7
"795",1988,"1-28",0.9
"796",1988,"1-29",2
"797",1988,"1-30",0
"798",1988,"1-31",0.8
"799",1988,"2-1",3.2
"800",1988,"2-2",3.1
"801",1988,"2-3",2.5
"802",1988,"2-4",-3.3
"803",1988,"2-6",2.4
"804",1988,"2-7",1.3
"805",1988,"2-8",1.2
"806",1988,"2-9",1.2
"807",1988,"2-10",2.1
"808",1988,"2-11",0.5
"809",1988,"2-12",0.1
"810",1988,"2-13",-1.1
"811",1988,"2-14",-5
"812",1988,"2-15",-5.4
"813",1988,"2-16",-5.5
"814",1988,"2-17",-5.3
"815",1988,"2-18",-9
"816",1988,"2-19",-10.1
"817",1988,"2-20",-4
"818",1988,"2-21",-2.1
"819",1988,"2-22",-2.7
"820",1988,"2-23",-4.3
"821",1988,"2-24",-7.5
"822",1988,"2-25",-6.5
"823",1988,"2-26",-3
"824",1988,"2-27",-3.4
"825",1988,"2-28",-0.4
"826",1988,"2-29",-0.8
"827",1988,"3-1",-0.8
"828",1988,"3-2",-0.3
"829",1988,"3-3",-3.4
"830",1988,"3-4",-5.7
"831",1988,"3-5",-4.2
"832",1988,"3-6",-6.6
"833",1988,"3-7",-0.8
"834",1988,"3-8",-2.2
"835",1988,"3-9",-0.6
"836",1988,"3-10",-1.8
"837",1988,"3-11",-1.9
"838",1988,"3-12",-0.8
"839",1988,"3-13",0.9
"840",1988,"3-15",0.5
"841",1988,"3-16",-1.9
"842",1988,"3-17",-3.4
"843",1988,"3-18",-1.8
"844",1988,"3-19",-5.3
"845",1988,"3-20",-3.7
"846",1988,"3-21",-4.3
"847",1988,"3-22",-6.6
"848",1988,"3-23",-4.7
"849",1988,"3-24",0
"850",1988,"3-25",-3.3
"851",1988,"3-26",-6.5
"852",1988,"3-27",-5
"853",1988,"3-28",-4.3
"854",1988,"3-29",-4.1
"855",1988,"3-30",-3.9
"856",1988,"3-31",-3.4
"857",1988,"4-1",-3.9
"858",1988,"4-2",-3.3
"859",1988,"4-3",-3.5
"860",1988,"4-4",-2.2
"861",1988,"4-5",-1.3
"862",1988,"4-6",-3
"863",1988,"4-7",-2.6
"864",1988,"4-8",0.4
"865",1988,"4-9",0.8
"866",1988,"4-10",-0.2
"867",1988,"4-11",-3
"868",1988,"4-12",-5.1
"869",1988,"4-13",-3.8
"870",1988,"4-14",-2.3
"871",1988,"4-15",-0.7
"872",1988,"4-16",0.1
"873",1988,"4-17",0.4
"874",1988,"4-18",-2
"875",1988,"4-19",-2.6
"876",1988,"4-20",-1.2
"877",1988,"4-21",0.7
"878",1988,"4-22",0.8
"879",1988,"4-23",1.2
"880",1988,"4-24",0
"881",1988,"4-25",0.5
"882",1988,"4-26",0.5
"883",1988,"4-27",0.1
"884",1988,"4-28",0.5
"885",1988,"4-29",-0.4
"886",1988,"4-30",1
"887",1988,"5-1",0
"888",1988,"5-2",-0.4
"889",1988,"5-3",0.5
"890",1988,"5-4",1.3
"891",1988,"5-5",0.9
"892",1988,"5-6",-0.4
"893",1988,"5-7",1.7
"894",1988,"5-8",2
"895",1988,"5-9",2.4
"896",1988,"5-10",2.4
"897",1988,"5-11",1.7
"898",1988,"5-12",1.2
"899",1988,"5-13",1.7
"900",1988,"5-14",1.3
"901",1988,"5-15",1.1
"902",1988,"5-16",1.3
"903",1988,"5-17",1.3
"904",1988,"5-18",1.6
"905",1988,"5-19",1.3
"906",1988,"5-20",0.9
"907",1988,"5-21",2.3
"908",1988,"5-22",2.1
"909",1988,"5-23",2.8
"910",1988,"5-24",3.3
"911",1988,"5-25",3.2
"912",1988,"5-26",3.1
"913",1988,"5-27",3
"914",1988,"5-28",3.2
"915",1988,"5-29",2.6
"916",1988,"5-30",2.3
"917",1988,"5-31",2.8
"918",1988,"6-1",2
"919",1988,"6-2",1.5
"920",1988,"6-3",3.2
"921",1988,"6-4",4.3
"922",1988,"6-5",3.6
"923",1988,"6-6",3.9
"924",1988,"6-7",4.4
"925",1988,"6-8",4.4
"926",1988,"6-9",4.7
"927",1988,"6-10",3.9
