"","YYYY","MM_DD","ATMP","WTMP"
"478",1987,"1-5",2,3.2
"479",1987,"1-6",-2.4,3.1
"480",1987,"1-7",-5.8,3
"481",1987,"1-8",-5.7,2.9
"482",1987,"1-9",-4.2,3
"483",1987,"1-10",-6.6,2.8
"484",1987,"1-11",2,2.8
"485",1987,"1-12",2.2,2.9
"486",1987,"1-13",-0.4,2.9
"487",1987,"1-14",0.8,3
"488",1987,"1-15",2.6,3
"489",1987,"1-16",1.7,3
"490",1987,"1-17",-0.3,2.8
"491",1987,"1-18",-0.1,2.8
"492",1987,"1-19",1.4,2.8
"493",1987,"1-20",1.5,2.8
"494",1987,"1-21",-1.2,2.7
"495",1987,"1-22",-2.6,2.8
"496",1987,"1-23",-1.4,2.7
"497",1987,"1-24",-2.9,2.7
"498",1987,"1-25",-3.4,2.6
"499",1987,"1-27",1.2,2.6
"500",1987,"1-28",3.2,2.7
"501",1987,"1-30",-5.8,2.6
"502",1987,"1-31",-4.2,2.5
"503",1987,"2-1",-3.9,2.5
"504",1987,"2-2",-6.4,2.4
"505",1987,"2-3",-5.3,2.4
"506",1987,"2-4",-4.2,2.4
"507",1987,"2-5",-1.5,2.4
"508",1987,"2-6",-1.2,2.4
"509",1987,"2-7",0.6,2.4
"510",1987,"2-8",0.5,2.4
"511",1987,"2-10",2.2,2.4
"512",1987,"2-11",1.7,2.4
"513",1987,"2-12",1.8,2.4
"514",1987,"2-13",0.8,2.4
"515",1987,"2-14",0,2.4
"516",1987,"2-15",-1,2
"517",1987,"2-16",-0.5,2.2
"518",1987,"2-17",-2.1,2.4
"519",1987,"2-18",-4.2,2.4
"520",1987,"2-19",-4.4,2.5
"521",1987,"2-20",-5.4,2.4
"522",1987,"2-21",-6.2,2.3
"523",1987,"2-22",-4.5,2.1
"524",1987,"2-23",-1.4,2.2
"525",1987,"2-24",-1.3,2.2
"526",1987,"2-25",1.1,2.3
"527",1987,"2-26",1.2,2.3
"528",1987,"2-27",2.3,2.2
"529",1987,"2-28",1.8,2.3
"530",1987,"3-1",2.5,2.2
"531",1987,"3-2",2.5,2.2
"532",1987,"3-3",2.7,2.2
"533",1987,"3-4",1.9,2.2
"534",1987,"3-5",1.7,2.2
"535",1987,"3-6",-0.1,2.2
"536",1987,"3-7",-1.1,2.1
"537",1987,"3-8",-2.9,2.1
"538",1987,"3-9",-0.8,2.2
"539",1987,"3-10",0.7,2.9
"540",1987,"3-11",2.9,2.2
"541",1987,"3-12",2.7,2.2
"542",1987,"3-13",2.8,2.4
"543",1987,"3-14",2.7,2.7
"544",1987,"3-15",0.9,2.6
"545",1987,"3-16",2.2,2.8
"546",1987,"3-17",2.1,2.8
"547",1987,"3-18",2.1,2.6
"548",1987,"3-19",1.7,2.2
"549",1987,"3-20",-0.1,2.1
"550",1987,"3-21",-7.7,2.4
"551",1987,"3-22",-9.1,2.5
"552",1987,"3-23",-5.8,2.3
"553",1987,"3-24",-3.7,2.2
"554",1987,"3-25",-3.5,2.3
"555",1987,"3-26",-1.6,2.2
"556",1987,"3-27",0.7,2.2
"557",1987,"3-28",0.7,2.4
"558",1987,"3-29",0.4,2.4
"559",1987,"3-30",-0.7,2.5
"560",1987,"3-31",-0.5,2.4
"561",1987,"4-1",0.8,2.7
"562",1987,"4-2",2.2,2.4
"563",1987,"4-3",1,2.4
"564",1987,"4-4",0.9,2.3
"565",1987,"4-5",0.8,2.6
"566",1987,"4-6",1.1,2.4
"567",1987,"4-7",0.7,2.6
"568",1987,"4-8",1.2,2.6
"569",1987,"4-9",-0.9,2.7
"570",1987,"4-10",-2.1,2.4
"571",1987,"4-11",-2,2.1
"572",1987,"4-12",-1.2,2.1
"573",1987,"4-13",-0.2,2.1
"574",1987,"4-14",-5,2
"575",1987,"4-15",NA,2.3
"576",1987,"4-16",NA,NA
"577",1987,"4-17",NA,NA
"578",1987,"4-18",NA,NA
"579",1987,"4-19",NA,NA
"580",1987,"4-20",NA,NA
"581",1987,"4-21",NA,NA
"582",1987,"4-22",NA,NA
"583",1987,"4-23",NA,NA
"584",1987,"4-24",NA,NA
"585",1987,"4-25",NA,NA
"586",1987,"4-26",NA,NA
"587",1987,"4-27",NA,NA
"588",1987,"4-28",NA,NA
"589",1987,"4-29",NA,NA
"590",1987,"4-30",NA,NA
"591",1987,"5-1",1.3,3.3
"592",1987,"5-2",-0.3,3.5
"593",1987,"5-3",0.7,3.5
"594",1987,"5-4",0.3,3.3
"595",1987,"5-5",1.6,3.6
"596",1987,"5-6",3.3,3.5
"597",1987,"5-7",1.3,3.6
"598",1987,"5-8",2.9,3.4
"599",1987,"5-9",2.4,3.4
"600",1987,"5-10",2.5,3.7
"601",1987,"5-11",2.5,3.2
"602",1987,"5-12",2.9,3.6
"603",1987,"5-13",1.8,4
"604",1987,"5-14",2.6,3.9
"605",1987,"5-15",2.8,4
"606",1987,"5-16",3.6,4
"607",1987,"5-17",2.6,3.9
"608",1987,"5-18",1.7,3.9
"609",1987,"5-19",2.5,3.6
"610",1987,"5-20",2.4,3.7
"611",1987,"5-21",2.6,3.9
"612",1987,"5-22",2.6,3.8
"613",1987,"5-23",3.1,3.8
"614",1987,"5-24",2.7,3.8
"615",1987,"5-25",2.5,4.1
"616",1987,"5-26",3.1,4.5
"617",1987,"5-27",2.5,4.7
"618",1987,"5-28",3.1,5.1
"619",1987,"5-29",4.1,5.2
"620",1987,"5-30",3.6,5
"621",1987,"5-31",3.9,5.1
"622",1987,"6-1",4.1,4.9
"623",1987,"6-2",4.6,5
"624",1987,"6-3",5,4.8
"625",1987,"6-4",4.4,4.9
"626",1987,"6-5",4.5,5.1
"627",1987,"6-6",4,5.2
"628",1987,"6-7",4.4,5.2
"629",1987,"6-8",4,5
"630",1987,"6-9",4.2,5
"631",1987,"6-10",4.1,5.2
